date;P
2013-01-01;212,05
2013-01-02;211,95
2013-01-03;211,87
2013-01-04;211,83
2013-01-05;211,85
2013-01-06;211,89
2013-01-07;211,93
2013-01-08;211,93
2013-01-09;211,95
2013-01-10;211,97
2013-01-11;211,95
2013-01-12;211,99
2013-01-13;211,97
2013-01-14;211,97
2013-01-15;211,99
2013-01-16;211,99
2013-01-17;211,93
2013-01-18;212,05
2013-01-19;212,07
2013-01-20;212,03
2013-01-21;212,01
2013-01-22;211,95
2013-01-23;211,91
2013-01-24;211,87
2013-01-25;211,85
2013-01-26;211,91
2013-01-27;211,95
2013-01-28;211,89
2013-01-29;211,93
2013-01-30;211,97
2013-01-31;211,93
2013-02-01;212,07
2013-02-02;212,07
2013-02-03;211,91
2013-02-04;211,93
2013-02-05;212,01
2013-02-06;212,05
2013-02-07;211,93
2013-02-08;211,97
2013-02-09;211,97
2013-02-10;212,16
2013-02-11;212,14
2013-02-12;212,07
2013-02-13;211,99
2013-02-14;212,01
2013-02-15;211,99
2013-02-16;211,95
2013-02-17;211,97
2013-02-18;211,99
2013-02-19;211,95
2013-02-20;211,95
2013-02-21;211,93
2013-02-22;211,95
2013-02-23;211,93
2013-02-24;211,89
2013-02-25;211,85
2013-02-26;211,83
2013-02-27;211,8
2013-02-28;211,82
2013-03-01;211,83
2013-03-02;211,83
2013-03-03;211,87
2013-03-04;211,93
2013-03-05;211,95
2013-03-06;211,97
2013-03-07;211,97
2013-03-08;211,97
2013-03-09;211,89
2013-03-10;211,91
2013-03-11;211,95
2013-03-12;211,93
2013-03-13;211,85
2013-03-14;211,83
2013-03-15;211,89
2013-03-16;212,03
2013-03-17;212,08
2013-03-18;212,1
2013-03-19;212,07
2013-03-20;212,03
2013-03-21;211,93
2013-03-22;212,01
2013-03-23;211,99
2013-03-24;211,99
2013-03-25;211,97
2013-03-26;211,97
2013-03-27;211,95
2013-03-28;211,93
2013-03-29;211,95
2013-03-30;211,95
2013-03-31;211,89
2013-04-01;211,91
2013-04-02;211,91
2013-04-03;211,83
2013-04-04;211,85
2013-04-05;211,85
2013-04-06;211,78
2013-04-07;211,8
2013-04-08;211,87
2013-04-09;211,93
2013-04-10;211,85
2013-04-11;211,85
2013-04-12;211,83
2013-04-13;211,74
2013-04-14;211,7
